Algorithm,Load,Average,Min,Max
QUEST,1,0.8,False,True
QUEST,2,0.8,False,True
QUEST,3,0.9,False,True
QUEST_NDVFS,1,0.9,False,True
QUEST_NDVFS,2,0.8,False,True
QUEST_NDVFS,3,0.9,False,True
Fuzzy,1,0.8,False,True
Fuzzy,2,0.8,False,True
Fuzzy,3,0.9,False,True
NSGA3,1,0.8,False,True
NSGA3,2,0.8,False,True
NSGA3,3,0.9,False,True
MQGA,1,0.8,False,True
MQGA,2,0.8,False,True
MQGA,3,0.9,False,True
Greedy,1,0.8,False,True
Greedy,2,0.8,False,True
Greedy,3,0.9,False,True
MOPSO,1,0.8,False,True
MOPSO,2,0.8,False,True
MOPSO,3,0.9,False,True
RL,1,0.8,False,True
RL,2,0.8,False,True
RL,3,0.9,False,True
