Algorithm,Load,CPU (%),Memory (%),Disk (%)
QUEST,1,6.5,30.8,58.3
QUEST_NDVFS,1,6.45,30.55,58.3
Fuzzy,1,8.35,30.5,58.3
NSGA3,1,6.45,30.45,58.3
MQGA,1,7.0,30.4,58.3
Greedy,1,7.2,30.4,58.3
MOPSO,1,6.55,30.4,58.3
RL,1,7.3,30.35,58.3
QUEST,1,6.7,30.3,58.3
QUEST_NDVFS,1,6.5,30.3,58.3
Fuzzy,1,4.55,30.3,58.3
NSGA3,1,6.95,30.3,58.3
MQGA,1,6.75,30.3,58.3
Greedy,1,7.4,30.35,58.3
MOPSO,1,6.5,30.4,58.3
RL,1,6.45,30.4,58.3
QUEST,2,7.1,30.65,58.3
QUEST_NDVFS,2,7.0,30.95,58.3
Fuzzy,2,31.6,30.95,58.3
NSGA3,2,7.1,30.9,58.3
MQGA,2,7.05,30.55,58.3
Greedy,2,7.1,30.35,58.3
MOPSO,2,32.3,30.4,58.3
RL,2,5.5,30.75,58.3
QUEST,2,4.9,31.05,58.3
QUEST_NDVFS,2,5.05,31.0,58.3
Fuzzy,2,5.85,31.0,58.3
NSGA3,2,4.85,31.05,58.3
MQGA,2,5.5,31.450000000000003,58.3
Greedy,2,3.55,29.8,58.3
MOPSO,2,2.25,27.85,58.3
RL,2,2.5,28.25,58.3
